Speed,Commande,Error,IntErr,kp,ki,kd,time,filter_type
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468900,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468925,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468950,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468975,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469000,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469025,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469050,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469075,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469100,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469125,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469150,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469175,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469200,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469225,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469250,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469275,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469300,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469325,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469350,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469375,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469400,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469425,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469450,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469475,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469500,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469525,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469550,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469575,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469600,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469625,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469650,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469675,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469700,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469725,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469750,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469775,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469800,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469825,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469850,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469875,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469900,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469925,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469950,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46469975,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470000,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470025,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470050,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470075,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470100,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470125,1
